Extracted Objects Summary
========================

wall_obj_009_0009.ply                              | wall_obj_009                   |  361,409 points
blinds_obj_008_0008.ply                            | blinds_obj_008                 |  114,709 points
ceiling_obj_010_0010.ply                           | ceiling_obj_010                |  110,322 points
sofa_obj_012_0012.ply                              | sofa_obj_012                   |   97,226 points
chair_obj_017_0017.ply                             | chair_obj_017                  |   61,546 points
rug_obj_015_0015.ply                               | rug_obj_015                    |   59,988 points
blinds_obj_067_0067.ply                            | blinds_obj_067                 |   55,527 points
ceiling_obj_024_0024.ply                           | ceiling_obj_024                |   51,115 points
table_obj_003_0003.ply                             | table_obj_003                  |   47,545 points
wall_obj_089_0089.ply                              | wall_obj_089                   |   45,802 points
door_obj_100_0100.ply                              | door_obj_100                   |   39,637 points
blinds_obj_099_0099.ply                            | blinds_obj_099                 |   39,341 points
book_obj_002_0002.ply                              | book_obj_002                   |   35,841 points
ceiling_obj_066_0066.ply                           | ceiling_obj_066                |   34,895 points
blinds_obj_023_0023.ply                            | blinds_obj_023                 |   34,358 points
ceiling_obj_030_0030.ply                           | ceiling_obj_030                |   33,734 points
window_obj_006_0006.ply                            | window_obj_006                 |   30,877 points
window_obj_036_0036.ply                            | window_obj_036                 |   29,574 points
ceiling_obj_035_0035.ply                           | ceiling_obj_035                |   25,479 points
floor_obj_021_0021.ply                             | floor_obj_021                  |   20,234 points
wall_obj_065_0065.ply                              | wall_obj_065                   |   19,635 points
ceiling_obj_098_0098.ply                           | ceiling_obj_098                |   19,580 points
door_obj_029_0029.ply                              | door_obj_029                   |   17,450 points
blanket_obj_018_0018.ply                           | blanket_obj_018                |   16,896 points
wall_obj_055_0055.ply                              | wall_obj_055                   |   16,504 points
ceiling_obj_046_0046.ply                           | ceiling_obj_046                |   15,344 points
stool_obj_014_0014.ply                             | stool_obj_014                  |   14,679 points
floor_obj_007_0007.ply                             | floor_obj_007                  |   13,764 points
ceiling_obj_088_0088.ply                           | ceiling_obj_088                |   13,315 points
door_obj_011_0011.ply                              | door_obj_011                   |   11,252 points
sofa_obj_057_0057.ply                              | sofa_obj_057                   |   10,357 points
floor_obj_062_0062.ply                             | floor_obj_062                  |   10,166 points
table_obj_069_0069.ply                             | table_obj_069                  |    9,900 points
pillar_obj_097_0097.ply                            | pillar_obj_097                 |    9,815 points
cushion_obj_013_0013.ply                           | cushion_obj_013                |    9,411 points
floor_obj_026_0026.ply                             | floor_obj_026                  |    8,977 points
rug_obj_045_0045.ply                               | rug_obj_045                    |    7,693 points
cushion_obj_075_0075.ply                           | cushion_obj_075                |    6,868 points
floor_obj_094_0094.ply                             | floor_obj_094                  |    6,732 points
lamp_obj_001_0001.ply                              | lamp_obj_001                   |    5,957 points
cabinet_obj_053_0053.ply                           | cabinet_obj_053                |    5,554 points
blanket_obj_059_0059.ply                           | blanket_obj_059                |    5,532 points
indoor_plant_obj_016_0016.ply                      | indoor plant_obj_016           |    5,139 points
pot_obj_084_0084.ply                               | pot_obj_084                    |    5,054 points
plate_obj_079_0079.ply                             | plate_obj_079                  |    4,918 points
rug_obj_096_0096.ply                               | rug_obj_096                    |    4,310 points
cabinet_obj_076_0076.ply                           | cabinet_obj_076                |    4,252 points
window_obj_038_0038.ply                            | window_obj_038                 |    4,199 points
vase_obj_087_0087.ply                              | vase_obj_087                   |    4,143 points
lamp_obj_033_0033.ply                              | lamp_obj_033                   |    3,786 points
cushion_obj_086_0086.ply                           | cushion_obj_086                |    3,071 points
table_obj_031_0031.ply                             | table_obj_031                  |    2,881 points
basket_obj_056_0056.ply                            | basket_obj_056                 |    2,756 points
stool_obj_041_0041.ply                             | stool_obj_041                  |    2,696 points
pot_obj_070_0070.ply                               | pot_obj_070                    |    2,252 points
table_obj_083_0083.ply                             | table_obj_083                  |    2,189 points
cushion_obj_042_0042.ply                           | cushion_obj_042                |    2,076 points
vent_obj_027_0027.ply                              | vent_obj_027                   |    2,019 points
indoor_plant_obj_095_0095.ply                      | indoor plant_obj_095           |    1,939 points
floor_obj_077_0077.ply                             | floor_obj_077                  |    1,848 points
book_obj_071_0071.ply                              | book_obj_071                   |    1,840 points
pillar_obj_022_0022.ply                            | pillar_obj_022                 |    1,786 points
candle_obj_058_0058.ply                            | candle_obj_058                 |    1,665 points
stool_obj_061_0061.ply                             | stool_obj_061                  |    1,634 points
plant_stand_obj_090_0090.ply                       | plant stand_obj_090            |    1,557 points
book_obj_082_0082.ply                              | book_obj_082                   |    1,445 points
